2020-04-21 22:42:08,882 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/new-faculty-spotlight-statistics-professor-vladimir-minin-is-pleased-to-join-growing-community, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-21 22:42:09,479 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/uci-well-represented-at-women-in-statistics-data-science-conference, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-21 22:42:10,075 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/zhu-wins-2017-newcomb-graduate-award-in-statistics, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-21 22:42:10,653 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/alexandra-peterson-named-outstanding-ta-in-statistics, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-21 22:42:11,228 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/new-faculty-spotlight-statistics-professor-bin-nan-welcomes-collaboration, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-21 22:42:11,807 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/uci-news-uci-neurobiologists-aim-to-identify-biomarkers-for-alzheimers-disease-dan-gillen-mentioned, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-21 22:42:12,387 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/statistics-department-welcomes-two-new-faculty-for-2017, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-21 22:42:13,023 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/ucis-data-science-program-ranked-18th-in-nation-by-bcss, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-21 22:42:13,604 - Worker-0 - INFO - Downloaded http://futurehealth.ics.uci.edu/health, status <404>, using cache ('styx.ics.uci.edu', 9007).
2020-04-21 22:42:14,170 - Worker-0 - INFO - Downloaded https://futurehealth.ics.uci.edu/?post_type=projects&p=475, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-21 22:42:14,729 - Worker-0 - INFO - Downloaded https://futurehealth.ics.uci.edu/?post_type=projects&p=481, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-21 22:42:15,280 - Worker-0 - INFO - Downloaded https://futurehealth.ics.uci.edu/?post_type=projects&p=513, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-21 22:42:15,831 - Worker-0 - INFO - Downloaded https://futurehealth.ics.uci.edu/?post_type=projects&p=519, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-21 22:42:16,381 - Worker-0 - INFO - Downloaded https://futurehealth.ics.uci.edu/education, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-21 22:42:16,935 - Worker-0 - INFO - Downloaded https://futurehealth.ics.uci.edu/participate, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-21 22:42:17,486 - Worker-0 - INFO - Downloaded https://futurehealth.ics.uci.edu/2020-distinguished-lecture-series, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-21 22:42:18,038 - Worker-0 - INFO - Downloaded https://futurehealth.ics.uci.edu/resources, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-21 22:42:18,601 - Worker-0 - INFO - Downloaded http://futurehealth.ics.uci.edu/about, status <404>, using cache ('styx.ics.uci.edu', 9007).
2020-04-21 22:42:19,181 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/community/news/view_news?id=1267, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-22 00:05:37,931 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news?id=1353, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-22 00:06:49,445 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news?id=1353, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-22 00:06:50,029 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/about/about_contact.php, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-22 00:06:50,603 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/about, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-22 00:06:51,176 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/about/about_safety.php, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-22 00:06:51,760 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/accessibility, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-22 00:06:52,335 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/about/visit/index.php, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-22 00:06:52,910 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/about/visit, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-22 00:06:53,482 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/about/facilities/index.php, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-22 00:06:54,070 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/about/facilities, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-22 00:06:54,646 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/about/kfflab/index.php, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-22 00:06:55,205 - Worker-0 - INFO - Downloaded https://support.ics.uci.edu/laptops, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-22 00:06:55,758 - Worker-0 - INFO - Downloaded http://keys.ics.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-22 00:06:56,320 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/about/kfflab, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-22 00:06:56,880 - Worker-0 - INFO - Downloaded https://intranet.ics.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-22 00:06:57,456 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/employment, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-22 00:06:58,035 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/about/search/index.php, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-22 00:06:58,609 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/about/search, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-22 00:06:59,219 - Worker-0 - INFO - Downloaded http://calendar.ics.uci.edu/calendar.php, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-22 00:06:59,802 - Worker-0 - INFO - Downloaded http://www.informatics.uci.edu/explore/faculty-profiles/bonnie-ruberg, status <404>, using cache ('styx.ics.uci.edu', 9007).
2020-04-22 00:07:00,409 - Worker-0 - INFO - Downloaded https://mse.ics.uci.edu/%20, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-22 00:07:00,996 - Worker-0 - INFO - Downloaded https://mswe.ics.uci.edu/contact-us, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-22 00:07:01,600 - Worker-0 - INFO - Downloaded https://mswe.ics.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-22 00:07:02,213 - Worker-0 - INFO - Downloaded https://mswe.ics.uci.edu/faq, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-22 00:07:02,812 - Worker-0 - INFO - Downloaded https://mswe.ics.uci.edu/career/resources-for-international-students, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-22 00:07:03,393 - Worker-0 - INFO - Downloaded https://mswe.ics.uci.edu/career, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-22 00:07:03,974 - Worker-0 - INFO - Downloaded https://mswe.ics.uci.edu/career/additional-resources, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-22 00:07:04,548 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/ugrad/resources/ICS_StudentOrgs.php, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-22 00:07:05,156 - Worker-0 - INFO - Downloaded http://wics.ics.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-22 00:07:05,769 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/katie-yeh, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-22 00:07:06,376 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/katie-khu, status <200>, using cache ('styx.ics.uci.edu', 9007).
2020-04-22 00:07:06,988 - Worker-0 - INFO - Downloaded https://wics.ics.uci.edu/janay-nunez, status <200>, using cache ('styx.ics.uci.edu', 9007).
